file_path,title,keywords,error
Архитектурно-планировочное задание местного органа архитектуры и градостроительства (АПЗ)_1,Жобалауға арналған сәулет-жоспарлау тапсырмасы (СЖТ) Архитектурно-планировочное задание (АПЗ) на проектирование,"Архитектурно-планировочное задание, АПЗ, Сәулет-жоспарлау тапсырмасы, СЖТ, BI Kids Garden, Многоквартирный жилой комплекс, паркинг, Астана, Улица Дала, Улица Айтматова, ГГК: 31032025000723, топографическая съемка, инженерно-геологические изыскания, №510-3562, 20.11.2024",
Задание на проектирование_1,ЗАДАНИЕ НА ПРОЕКТИРОВАНИЕ,"Многоквартирный жилой комплекс, встроенные помещения, паркинг, Астана, район Нура, пересечение проспекта Улы дала и улицы Ш. Айтматова, 4 очереди строительства, АЗПЗ № KZKZ68VUA01518748, BI Kids Garden, TAIMAS-S, Жилой комплекс, эскизный проект, архитектурно-планировочное задание, противопожарная защита, корпоративные стандарты, сейсмостойкость, тепло- и шумоизоляция",
Задание на проектирование_2,ЗАДАНИЕ НА ПРОЕКТИРОВАНИЕ,"Многоквартирный жилой комплекс, встроенные помещения, паркинг, Астана, район Нура, пересечение проспекта Улы дала и улицы Ш. Айтматова, 4 очереди строительства, АЗ № KZKZ68VUA01518748, BI Kids Garden, TAIMAS-S, противопожарная защита, эскизный проект, жилые помещения, корпоративные стандарты, сейсмостойкость",
"Лицензия генеральной проектной и субпроектной организаций с приложениями к ней и указанием категории лицензиата, дающих право на данный вид проектной деятельности_1",ЛИЦЕНЗИЯ,"Товарищество с ограниченной ответственностью ""TAIMAS-S"", 010000, Республика Казахстан, г.Астана, улица Мухтар Ауезов, дом № 8, 23, БИН: 080140015287, Проектная деятельность, Республики Казахстан «О разрешениях и уведомлениях», Неотчуждаемая, класс 1, Государственное учреждение ""Управление контроля и качества городской среды города Астаны"", Акимат города Астаны, Тажиев Гани Жарасович, Технологическое проектирование, объектов производственного назначения, объектов инфраструктуры, местных линий связи, радио-, телекоммуникаций",
Лицензия на изыскательскую деятельность_1,ГОСУДАРСТВЕННАЯ ЛИЦЕНЗИЯ,"Товарищество с ограниченной ответственностью ""САПА-Гео"", Республика Казахстан, г.Астана, КУДАЙБЕРДИ Ш., Изыскательская деятельность, Комитет по делам строительства и жилищно-коммунального хозяйства Министерства регионального развития Республики Казахстан, Геодезические работы, Топографические работы, Инженерно-геологические и инженерно-гидрогеологические работы, Полевые исследования грунтов, Гидрогеологические исследования, Геофизические исследования, рекогносцировка и съемка",
Материалы инженерно-геологических изысканий_1,"ОТЧЕТ об инженерно-геологических изысканиях по объекту: «Многоквартирный жилой комплекс со встроенными помещениями и паркингом ""UIA.BURKIT 3"", расположенный по адресу: Астана, район «Нура», пересечение ул.Улы дала и Ш.Айтматова UIA.BURKIT 3.4 очереди»","Республика Казахстан, Товарищество с ограниченной ответственностью «Сапа Гео», Инженерно-геологические изыскания, Многоквартирный жилой комплекс, Паркинг, UIA.BURKIT 3, Астана, Район Нура, Улица Улы дала, Улица Ш.Айтматова, UIA.BURKIT 3.4, Геология, Архив 21-25",
Протокол замеров плотности потока радона_1,Радонның және оның ыдырау өнімдерінің пайда болған өңірлерінің бар болуын өлшеу ХАТТАМАСЫ,"Радон, Радиациялық қауіпсіздік, Өлшеу жүргізілген орын, Многоквартирный жилой комплекс, Астана қаласы, РГП на ПХВ «Национальный центр экспертизы» КСЭК МЗ РК по городу Астана, Форма №087/у, ДСМ-71, Денсаулық сақтау министрлігі, Радиационный фон, Радонның ағынның тығыздығы, Радон концентрациясы, KZ.T.01.0509, ГОСТ",
"Разрешение местных исполнительных органов на использование земельного участка (площадки, трассы) или правоустанавливающий документ на земельный участок_1",Жылжымайтын мүлік объектісінің кадастрлық паспорты. Жер учаскесі / Земельный участок,"Кадастровый паспорт, Земельный участок, Астана, улица Нура, улица Дала, 21:335:135:6790, 2202500001083030, 2100/867494, 0.01001 гектар, Жер учаскесінің нысаналы мақсаты, Құрылысы тұрғын үй кешенін салу, Строительство многоквартирного жилого комплекса, Жеке меншік/частная собственность",
"Разрешение местных исполнительных органов на использование земельного участка (площадки, трассы) или правоустанавливающий документ на земельный участок_2",ЖЫЛЖЫМАЙТЫН МҮЛІКТІҢ КАДАСТРЛЫҚ ПАСПОРТЫ / КАДАСТРОВЫЙ ПАСПОРТ ОБЪЕКТА НЕДВИЖИМОСТИ,"Жер учаскесі, Земельный участок, Астана, Е 909 көш., 33 уч., ул. Е 909, уч. 33, 22025000002872137, 21:335:135:6888, 2100/873308, Кадастровый номер, Кадастрлық іс нөмірі, Жердің санаты, Категория земель, Уақытша өтеулі уақы мерзімі жер пайдалану, Возмездное долгосрочное землепользование, 5.0847 гектар, Көп пәтерлі тұрғын үй кешенін салу, Строительство многоквартирного жилого комплекса",
"Разрешение местных исполнительных органов на использование земельного участка (площадки, трассы) или правоустанавливающий документ на земельный участок_3",Жылжымайтын мүлік объектісінің кадастрлық паспорты. Жер учаскесі / Земельный участок,"Кадастровый паспорт, Земельный участок, Астана, Улы Дала, 21:335:135:6791, 2202500001083136, Жеке/Частная, Жеке меншік/частная собственность, 0.01001 гектар, Құрылысы тұрғын үй кешенін салу/Строительство многоквартирного жилого комплекса",
